Transaction_ID,Invoice_Number,Vendor,Department,Amount,Invoice_Date,Due_Date,Payment_Date,Payment_Method,PO_Status,Country,Currency,High_Value,Missing_PO,Late_Payment,Duplicate_Invoice,Risk_Score,Risk_Level
TRX100059,INV200059,Apple,Marketing,3892.05,2025-10-02,2025-11-01,2025-10-25,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100060,INV200060,HP,Finance,4259.42,2025-12-20,2026-01-19,2026-02-22,Check,Yes,Germany,EUR,False,False,True,False,1,Medium
TRX100061,INV200061,EY,Legal,9433.14,2026-08-01,2026-08-31,2026-08-27,Check,No,United States,USD,False,True,False,False,2,Medium
TRX100062,INV200062,PwC,R&D,2283.33,2026-03-26,2026-04-25,2026-04-21,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100063,INV200063,Lenovo,Engineering,4727.16,2026-02-23,2026-03-25,2026-03-24,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100064,INV200064,Dell Technologies,Accounting,1443.42,2026-04-11,2026-05-11,2026-05-01,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100065,INV200065,Intel,R&D,21130.26,2026-06-08,2026-07-08,2026-08-06,ACH,Yes,United States,USD,False,False,True,False,1,Medium
TRX100066,INV200066,PwC,Finance,102494.05,2026-05-15,2026-06-14,2026-06-14,ACH,Yes,United States,USD,True,False,False,False,1,Medium
TRX100067,INV200067,Dell Technologies,Customer Service,1349.59,2025-10-26,2025-11-25,2025-11-24,Check,Yes,United States,USD,False,False,False,False,0,Low
TRX100068,INV200068,NVIDIA,Marketing,9640.97,2025-08-15,2025-09-14,2025-09-27,Wire,No,United States,USD,False,True,True,False,4,High
TRX100069,INV200069,Dell Technologies,IT,9089.46,2025-11-27,2025-12-27,2025-12-20,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100070,INV200070,Amazon,Engineering,44011.73,2025-11-09,2025-12-09,2025-11-30,Wire,Yes,United States,USD,False,False,False,False,1,Medium
TRX100071,INV200071,PwC,Legal,782.67,2025-10-20,2025-11-19,2025-11-09,Wire,Yes,United States,USD,False,False,False,False,1,Medium
TRX100072,INV200072,NVIDIA,Operations,28389.57,2026-07-15,2026-08-14,2026-08-06,Wire,No,United States,USD,False,True,False,False,3,High
TRX100073,INV203226,PwC,R&D,4412.19,2026-06-20,2026-07-20,2026-07-25,ACH,Yes,United Kingdom,GBP,False,False,True,True,4,High
TRX100074,INV200074,Adobe,Procurement,4700.61,2025-11-27,2025-12-27,2025-12-23,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100075,INV200075,KPMG,Sales,2657.69,2026-03-31,2026-04-30,2026-04-29,Wire,Yes,United States,USD,False,False,False,True,4,High
TRX100076,INV200076,Cisco,Accounting,4123.64,2025-12-26,2026-01-25,2026-01-18,Wire,Yes,United States,USD,False,False,False,False,1,Medium
TRX100077,INV200077,Dell Technologies,Accounting,4103.57,2026-07-04,2026-08-03,2026-08-03,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100078,INV200078,HP,Engineering,3582.92,2026-01-18,2026-02-17,2026-02-11,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100079,INV200079,Amazon,Engineering,7645.68,2025-11-08,2025-12-08,2025-12-01,Wire,Yes,United States,USD,False,False,False,True,4,High
TRX100080,INV200080,Deloitte,Customer Service,1095.21,2025-11-02,2025-12-02,2025-11-25,ACH,Yes,Canada,CAD,False,False,False,False,0,Low
TRX100081,INV200081,IBM,IT,639.81,2026-02-25,2026-03-27,2026-03-19,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100082,INV200082,Dell Technologies,Customer Service,4839.27,2025-11-08,2025-12-08,2025-11-28,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100083,INV200083,Apple,Legal,5812.51,2026-03-05,2026-04-04,2026-03-27,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100084,INV200084,Google,Accounting,4220.12,2026-06-28,2026-07-28,2026-07-27,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100085,INV200085,Accenture,IT,49601.25,2025-12-28,2026-01-27,2026-01-26,ACH,No,United States,USD,False,True,False,False,2,Medium
TRX100086,INV200086,Cisco,Operations,6638.24,2025-10-23,2025-11-22,2025-11-14,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100087,INV200087,CDW,Procurement,2391.61,2026-08-04,2026-09-03,2026-09-15,Check,Yes,United States,USD,False,False,True,False,1,Medium
TRX100088,INV200088,Adobe,R&D,33591.58,2026-02-06,2026-03-08,2026-03-12,ACH,Yes,United States,USD,False,False,True,True,4,High
TRX100089,INV200089,Adobe,Compliance,690.42,2025-09-06,2025-10-06,2025-10-16,Wire,Yes,United States,USD,False,False,True,False,2,Medium
TRX100090,INV200090,Amazon,Procurement,7027.36,2025-08-21,2025-09-20,2025-10-22,ACH,Yes,United States,USD,False,False,True,False,1,Medium
TRX100091,INV207319,HP,Engineering,2578.64,2025-09-13,2025-10-13,2025-10-13,Wire,Yes,United Kingdom,GBP,False,False,False,True,4,High
TRX100092,INV200092,Adobe,Customer Service,7587.06,2026-03-21,2026-04-20,2026-04-20,ACH,Yes,South Korea,KRW,False,False,False,False,0,Low
TRX100093,INV200093,HP,Operations,48762.21,2026-05-20,2026-06-19,2026-06-15,ACH,Yes,Mexico,MXN,False,False,False,False,0,Low
TRX100094,INV200094,Intel,Legal,2953.36,2026-01-05,2026-02-04,2026-03-18,Wire,Yes,United States,USD,False,False,True,False,2,Medium
TRX100095,INV200095,Adobe,HR,7748.22,2025-08-27,2025-09-26,2025-10-10,Credit Card,Yes,United States,USD,False,False,True,False,1,Medium
TRX100096,INV200096,HP,Finance,3681.62,2025-12-21,2026-01-20,2026-01-31,ACH,Yes,United States,USD,False,False,True,False,1,Medium
TRX100097,INV200097,IBM,IT,7012.68,2026-08-03,2026-09-02,2026-09-02,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100098,INV200098,PwC,Finance,1022.77,2026-02-13,2026-03-15,2026-04-29,ACH,Yes,United States,USD,False,False,True,False,1,Medium
TRX100099,INV200099,IBM,Procurement,93779.23,2026-07-25,2026-08-24,2026-08-31,Wire,No,United States,USD,True,True,True,False,5,High
TRX100100,INV200100,PwC,Marketing,9226.49,2026-06-15,2026-07-15,2026-07-07,Check,Yes,Canada,CAD,False,False,False,False,0,Low
TRX100101,INV200101,HP,HR,126160.65,2025-08-08,2025-09-07,2025-09-12,Wire,Yes,United States,USD,True,False,True,False,3,High
TRX100102,INV200102,KPMG,Compliance,5431.95,2026-04-24,2026-05-24,2026-05-22,Wire,Yes,United Kingdom,GBP,False,False,False,False,1,Medium
TRX100103,INV200103,Cisco,Engineering,3891.41,2026-04-10,2026-05-10,2026-05-17,ACH,Yes,Canada,CAD,False,False,True,False,1,Medium
TRX100104,INV200104,Lenovo,Legal,168859.05,2026-02-16,2026-03-18,2026-03-10,ACH,Yes,United States,USD,True,False,False,False,1,Medium
TRX100105,INV200105,EY,HR,44967.61,2025-11-09,2025-12-09,2025-12-07,Check,Yes,United States,USD,False,False,False,False,0,Low
TRX100106,INV202922,IBM,Accounting,9695.12,2026-03-26,2026-04-25,2026-04-21,ACH,Yes,Mexico,MXN,False,False,False,True,3,High
TRX100107,INV200107,PwC,Legal,144019.88,2025-09-13,2025-10-13,2025-10-21,Check,Yes,United States,USD,True,False,True,False,2,Medium
TRX100108,INV200108,SAP,Sales,27358.86,2026-01-10,2026-02-09,2026-02-09,Wire,Yes,United States,USD,False,False,False,False,1,Medium
TRX100109,INV200109,SAP,Finance,7981.82,2026-01-17,2026-02-16,2026-02-11,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100110,INV200110,Oracle,Marketing,6133.97,2026-07-19,2026-08-18,2026-08-18,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100111,INV200111,Accenture,Operations,2627.73,2026-06-20,2026-07-20,2026-07-17,Check,Yes,United States,USD,False,False,False,False,0,Low
TRX100112,INV200112,Accenture,HR,94873.14,2025-11-08,2025-12-08,2026-01-15,ACH,Yes,United States,USD,True,False,True,False,2,Medium
TRX100113,INV200113,Lenovo,Compliance,2448.34,2026-02-03,2026-03-05,2026-03-04,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100114,INV200114,Lenovo,IT,8664.17,2025-10-08,2025-11-07,2025-11-08,Check,Yes,Mexico,MXN,False,False,True,False,1,Medium
TRX100115,INV200115,SAP,R&D,34282.6,2026-07-04,2026-08-03,2026-08-03,ACH,Yes,Canada,CAD,False,False,False,False,0,Low
TRX100116,INV200116,IBM,Operations,6311.84,2026-06-18,2026-07-18,2026-07-15,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100117,INV200117,SAP,HR,17025.6,2025-11-21,2025-12-21,2025-12-19,Check,Yes,United States,USD,False,False,False,False,0,Low
TRX100118,INV200118,Adobe,Compliance,9149.08,2026-03-25,2026-04-24,2026-06-04,ACH,Yes,Mexico,MXN,False,False,True,False,1,Medium
TRX100119,INV200119,Accenture,Accounting,9668.35,2026-03-14,2026-04-13,2026-04-25,Wire,Yes,Mexico,MXN,False,False,True,False,2,Medium
TRX100120,INV206323,PwC,HR,4006.29,2025-09-28,2025-10-28,2025-10-19,ACH,Yes,United States,USD,False,False,False,True,3,High
TRX100121,INV207242,EY,Legal,47611.68,2026-05-10,2026-06-09,2026-06-02,ACH,Yes,United Kingdom,GBP,False,False,False,True,3,High
TRX100122,INV200122,Intel,Customer Service,725.85,2026-02-17,2026-03-19,2026-04-03,Wire,Yes,United States,USD,False,False,True,False,2,Medium
TRX100123,INV200123,Microsoft,Finance,4976.98,2026-05-15,2026-06-14,2026-06-12,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100124,INV200124,PwC,Legal,7293.33,2026-02-14,2026-03-16,2026-03-27,ACH,Yes,United States,USD,False,False,True,False,1,Medium
TRX100125,INV200125,Adobe,Finance,2250.97,2025-08-04,2025-09-03,2025-08-27,Check,Yes,United States,USD,False,False,False,False,0,Low
TRX100126,INV200126,PwC,Operations,4041.58,2025-11-30,2025-12-30,2025-12-21,Check,Yes,United States,USD,False,False,False,False,0,Low
TRX100127,INV200127,Cisco,Operations,9713.82,2025-08-11,2025-09-10,2025-09-05,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100128,INV203071,Apple,Compliance,18286.29,2026-07-10,2026-08-09,2026-08-02,ACH,Yes,Germany,EUR,False,False,False,True,3,High
TRX100129,INV200129,Dell Technologies,IT,15787.52,2026-06-21,2026-07-21,2026-07-15,Wire,Yes,Mexico,MXN,False,False,False,False,1,Medium
TRX100130,INV200980,IBM,Finance,7905.47,2026-06-04,2026-07-04,2026-06-24,ACH,Yes,Canada,CAD,False,False,False,True,3,High
TRX100131,INV200131,Deloitte,Accounting,29049.84,2025-11-24,2025-12-24,2026-01-02,ACH,Yes,United States,USD,False,False,True,False,1,Medium
TRX100132,INV200132,CDW,Finance,46350.07,2025-08-25,2025-09-24,2025-09-18,ACH,No,United States,USD,False,True,False,True,5,High
TRX100133,INV200133,KPMG,Compliance,6892.37,2026-06-21,2026-07-21,2026-07-18,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100134,INV200134,Apple,Marketing,6367.46,2026-07-16,2026-08-15,2026-08-10,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100135,INV200135,Deloitte,Customer Service,7951.65,2025-09-04,2025-10-04,2025-10-04,Wire,Yes,Canada,CAD,False,False,False,False,1,Medium
TRX100136,INV200136,Cisco,Legal,2362.09,2026-01-28,2026-02-27,2026-02-24,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100137,INV200137,Intel,Operations,9540.57,2025-08-29,2025-09-28,2025-09-25,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100138,INV200138,Amazon,Engineering,42470.77,2026-05-09,2026-06-08,2026-06-07,Credit Card,Yes,United States,USD,False,False,False,False,0,Low
TRX100139,INV200139,HP,HR,47645.19,2026-05-11,2026-06-10,2026-05-31,Credit Card,Yes,United States,USD,False,False,False,False,0,Low
TRX100140,INV200140,EY,Supply Chain,6601.69,2025-09-19,2025-10-19,2025-10-10,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100141,INV200141,Adobe,Customer Service,4348.21,2026-01-24,2026-02-23,2026-02-22,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100142,INV200142,Adobe,Finance,7056.72,2026-02-21,2026-03-23,2026-03-18,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100143,INV200143,Lenovo,Accounting,6368.4,2025-11-09,2025-12-09,2025-12-07,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100144,INV200144,NVIDIA,IT,41073.42,2026-06-19,2026-07-19,2026-07-10,Check,Yes,Canada,CAD,False,False,False,False,0,Low
TRX100145,INV202877,Microsoft,Operations,4486.82,2026-01-05,2026-02-04,2026-02-03,ACH,Yes,Canada,CAD,False,False,False,True,3,High
TRX100146,INV200146,Amazon,HR,2904.14,2025-10-20,2025-11-19,2025-11-16,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100147,INV200147,CDW,Finance,3084.05,2026-02-17,2026-03-19,2026-03-11,Wire,Yes,United States,USD,False,False,False,False,1,Medium
TRX100148,INV200148,KPMG,Engineering,1378.94,2026-04-28,2026-05-28,2026-05-21,ACH,Yes,Mexico,MXN,False,False,False,False,0,Low
TRX100149,INV200149,Apple,Legal,11692.09,2025-10-16,2025-11-15,2025-11-06,Check,Yes,United States,USD,False,False,False,False,0,Low
TRX100150,INV200150,HP,IT,306.48,2025-11-26,2025-12-26,2025-12-25,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100151,INV200151,HP,Compliance,4413.2,2026-08-03,2026-09-02,2026-08-24,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100152,INV200152,Intel,R&D,5153.78,2026-03-29,2026-04-28,2026-04-26,ACH,Yes,United States,USD,False,False,False,True,3,High
TRX100153,INV200153,IBM,Sales,2634.09,2026-01-11,2026-02-10,2026-02-02,Wire,Yes,United States,USD,False,False,False,True,4,High
TRX100154,INV200154,KPMG,Procurement,40395.09,2026-02-09,2026-03-11,2026-03-10,ACH,No,United States,USD,False,True,False,True,5,High
TRX100155,INV200155,Intel,Marketing,4742.32,2025-09-17,2025-10-17,2025-10-11,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100156,INV200156,Accenture,Procurement,3750.5,2025-10-25,2025-11-24,2025-11-24,Check,Yes,United States,USD,False,False,False,False,0,Low
TRX100157,INV200157,Deloitte,Legal,5587.73,2025-12-05,2026-01-04,2026-01-19,ACH,Yes,United States,USD,False,False,True,False,1,Medium
TRX100158,INV200158,Cisco,HR,5063.54,2026-03-07,2026-04-06,2026-05-06,ACH,Yes,United States,USD,False,False,True,False,1,Medium
TRX100159,INV200159,Apple,Supply Chain,487.51,2025-10-27,2025-11-26,2025-12-04,ACH,Yes,United States,USD,False,False,True,False,1,Medium
TRX100160,INV200160,SAP,Legal,3449.83,2025-10-23,2025-11-22,2025-11-22,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100161,INV200161,Lenovo,IT,8530.51,2025-08-29,2025-09-28,2025-11-02,Check,Yes,United States,USD,False,False,True,False,1,Medium
TRX100162,INV200162,IBM,HR,6594.94,2026-03-22,2026-04-21,2026-04-13,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100163,INV200163,Lenovo,Operations,42527.39,2025-10-26,2025-11-25,2025-11-25,Check,Yes,United States,USD,False,False,False,False,0,Low
TRX100164,INV200164,Deloitte,HR,3157.77,2026-07-01,2026-07-31,2026-08-26,Check,Yes,United States,USD,False,False,True,False,1,Medium
TRX100165,INV200165,IBM,Marketing,8459.84,2026-06-14,2026-07-14,2026-07-12,Wire,Yes,United States,USD,False,False,False,False,1,Medium
TRX100166,INV200166,Intel,R&D,6012.74,2025-08-29,2025-09-28,2025-09-20,Wire,Yes,Mexico,MXN,False,False,False,False,1,Medium
TRX100167,INV200167,Oracle,Engineering,4167.5,2025-10-30,2025-11-29,2025-11-22,Credit Card,Yes,Canada,CAD,False,False,False,False,0,Low
TRX100168,INV200168,Accenture,Sales,3163.73,2026-04-05,2026-05-05,2026-05-13,Check,Yes,United States,USD,False,False,True,False,1,Medium
TRX100169,INV200169,EY,Procurement,2889.54,2025-10-21,2025-11-20,2025-11-18,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100170,INV200170,CDW,Marketing,12087.19,2025-09-21,2025-10-21,2025-10-16,ACH,Yes,Mexico,MXN,False,False,False,False,0,Low
TRX100171,INV200171,Amazon,IT,1687.09,2026-07-12,2026-08-11,2026-08-09,ACH,Yes,United Kingdom,GBP,False,False,False,False,0,Low
TRX100172,INV200172,Google,Compliance,3560.89,2026-03-01,2026-03-31,2026-03-21,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100173,INV200173,Apple,HR,3254.98,2026-01-23,2026-02-22,2026-02-22,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100174,INV200174,KPMG,Engineering,40353.65,2026-05-18,2026-06-17,2026-06-16,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100175,INV200175,IBM,Supply Chain,141332.01,2026-05-26,2026-06-25,2026-06-19,ACH,Yes,United States,USD,True,False,False,False,1,Medium
TRX100176,INV200176,CDW,Procurement,8383.21,2025-10-12,2025-11-11,2025-11-09,ACH,Yes,United States,USD,False,False,False,True,3,High
TRX100177,INV200177,IBM,IT,6186.61,2025-09-08,2025-10-08,2025-10-04,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100178,INV200178,NVIDIA,Accounting,131612.29,2026-01-08,2026-02-07,2026-02-16,ACH,Yes,United States,USD,True,False,True,False,2,Medium
TRX100179,INV200179,Lenovo,HR,260.8,2026-01-06,2026-02-05,2026-02-11,ACH,Yes,United States,USD,False,False,True,False,1,Medium
TRX100180,INV202885,EY,Engineering,15336.38,2026-01-21,2026-02-20,2026-02-15,Wire,Yes,Canada,CAD,False,False,False,True,4,High
TRX100181,INV200181,Accenture,Engineering,1904.55,2026-04-27,2026-05-27,2026-05-24,ACH,Yes,Canada,CAD,False,False,False,False,0,Low
TRX100182,INV200182,Microsoft,HR,127307.54,2026-04-07,2026-05-07,2026-06-09,ACH,Yes,United States,USD,True,False,True,False,2,Medium
TRX100183,INV200183,SAP,HR,11912.16,2026-07-30,2026-08-29,2026-08-23,ACH,Yes,Germany,EUR,False,False,False,False,0,Low
TRX100184,INV203965,Accenture,Legal,1949.49,2025-09-09,2025-10-09,2025-10-04,Check,Yes,Mexico,MXN,False,False,False,True,3,High
TRX100185,INV200185,HP,Accounting,9951.47,2025-12-29,2026-01-28,2026-01-22,ACH,Yes,United States,USD,False,False,False,False,0,Low
TRX100186,INV200186,SAP,Procurement,4318.55,2025-12-06,2026-01-05,2025-12-31,ACH,Yes,Germany,EUR,False,False,False,False,0,Low
